Degraded,MOS_P563
Afzal-20110524-qsu_b0142_plr3_opus.wav, 1.000000
Afzal-20110524-qsu_b0143_plr5_evs.wav, 1.000000
Afzal-20110524-qsu_b0144_plr1_opus.wav, 1.000000
Afzal-20110524-qsu_b0145_plr3_evs.wav, 1.000000
Airwings-20101216-vqx_ar-18_plr1_opus.wav, 1.049535
Airwings-20101216-vqx_ar-19_plr3_evs.wav, 1.000000
Airwings-20101216-vqx_ar-20_plr5_opus.wav, 1.000000
Airwings-20101216-vqx_ar-21_plr1_evs.wav, 1.000000
Airwings-20101216-vqx_ar-22_plr3_opus.wav, 1.000000
Airwings-20101216-vqx_ar-23_plr5_evs.wav, 1.000000
Airwings-20101216-vqx_ar-24_plr1_opus.wav, 1.000000
Airwings-20101216-vqx_rb-01_plr3_evs.wav, 1.000000
Airwings-20101216-vqx_rb-02_plr5_opus.wav, 1.000000
Airwings-20101216-vqx_rb-03_plr1_evs.wav, 1.000000
Airwings-20101216-zul_b0292_plr3_opus.wav, 1.000000
Airwings-20101216-zul_b0293_plr5_evs.wav, 1.000000
Airwings-20101216-zul_b0294_plr1_opus.wav, 1.000000
Airwings-20101216-zul_b0295_plr3_evs.wav, 1.000000
Airwings-20101216-zul_b0296_plr5_opus.wav, 1.000000
Airwings-20101216-zul_b0297_plr1_evs.wav, 1.000000
Airwings-20101216-zul_b0298_plr3_opus.wav, 1.000000
Airwings-20101216-zul_b0299_plr5_evs.wav, 1.000000
Airwings-20101216-zul_b0300_plr1_opus.wav, 1.000000
Airwings-20101216-zul_b0301_plr3_evs.wav, 1.000000
Akhansson-20120423-yas_a0126_plr3_opus.wav, 1.000000
Akhansson-20120423-yas_a0127_plr5_evs.wav, 1.000000
Akhansson-20120423-yas_a0128_plr1_opus.wav, 1.000000
Akhansson-20120423-yas_a0129_plr3_evs.wav, 1.000000
Akhansson-20120423-yas_a0130_plr5_opus.wav, 1.000000
Akhansson-20120423-yas_a0131_plr1_evs.wav, 1.000000
Akhansson-20120423-yas_a0132_plr3_opus.wav, 1.000000
Akhansson-20120423-yas_a0133_plr5_evs.wav, 1.000000
Akhansson-20120423-yas_a0134_plr1_opus.wav, 1.000000
Akhansson-20120423-yas_a0135_plr3_evs.wav, 1.000000
Akram-20101102-qax_a0227_plr1_opus.wav, 1.000000
Akram-20101102-qax_a0228_plr3_evs.wav, 1.000000
Akram-20101102-qax_a0229_plr5_opus.wav, 1.000000
Akram-20101102-qax_a0230_plr1_evs.wav, 1.000000
Akram-20101102-qax_a0231_plr3_opus.wav, 1.000000
Akram-20101102-qax_a0232_plr5_evs.wav, 1.000000
Akram-20101102-qax_a0233_plr1_opus.wav, 1.000000
Akram-20101102-qax_a0234_plr3_evs.wav, 1.000000
Akram-20101102-qax_a0235_plr5_opus.wav, 1.000000
Akram-20101102-qax_a0236_plr1_evs.wav, 1.000000
AlexW-20110510-hzr_b0537_plr1_evs.wav, 1.000000
AlexW-20110510-hzr_b0538_plr3_opus.wav, 1.000000
AlexW-20110510-hzr_b0539_plr5_evs.wav, 1.000000
AlexW-20110510-hzr_rp-01_plr1_opus.wav, 1.000000
AlexW-20110510-hzr_rp-02_plr3_evs.wav, 1.000000
AlexW-20110510-hzr_rp-03_plr5_opus.wav, 1.000000
AlexW-20110510-hzr_rp-04_plr1_evs.wav, 1.000000
AlexW-20110510-hzr_rp-05_plr3_opus.wav, 1.000000
AlexW-20110510-hzr_rp-06_plr5_evs.wav, 1.000000
AlexW-20110510-hzr_rp-07_plr1_opus.wav, 3.089929
AlexanderHenningDrachmann-20140108-dgf_a0158_plr3_evs.wav, 1.003567
AlexanderHenningDrachmann-20140108-dgf_a0159_plr5_opus.wav, 1.258985
AlexanderHenningDrachmann-20140108-dgf_a0160_plr1_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-dgf_a0161_plr3_opus.wav, 1.580077
AlexanderHenningDrachmann-20140108-dgf_a0162_plr5_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-dgf_a0163_plr1_opus.wav, 1.064902
AlexanderHenningDrachmann-20140108-dgf_a0164_plr3_evs.wav, 1.392847
AlexanderHenningDrachmann-20140108-dgf_a0165_plr5_opus.wav, 1.536378
AlexanderHenningDrachmann-20140108-dgf_a0166_plr1_evs.wav, 1.564710
AlexanderHenningDrachmann-20140108-dgf_a0167_plr3_opus.wav, 1.057943
AlexanderHenningDrachmann-20140108-klh_a0398_plr5_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-klh_a0399_plr1_opus.wav, 1.249845
AlexanderHenningDrachmann-20140108-klh_a0400_plr3_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-klh_a0401_plr5_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-klh_a0402_plr1_evs.wav, 1.039284
AlexanderHenningDrachmann-20140108-klh_a0403_plr3_opus.wav, 1.046484
AlexanderHenningDrachmann-20140108-klh_a0404_plr5_evs.wav, 1.442240
AlexanderHenningDrachmann-20140108-klh_a0405_plr1_opus.wav, 1.000000
